"OTU2","padj","coeff","N-Fertilization_Intensity","sdt","OTU","Treatment","mean","p-value_corrected_(BH)"
"Penicillium;OTU1515","p<0.05",81.56,"Ext",0.5373965203652293,"Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;OTU1515","BMc",1.852,0.002959224092833877
"Gibellulopsis;OTU1522","p>0.05",-0.9,"Ext",0.6174228638573552,"Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Gibellulopsis;OTU1522","Ctrl",1.991,0.7046536036157492
"Gibellulopsis;OTU1522","p>0.05",-0.9,"Ext",0.10536918778928751,"Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Gibellulopsis;OTU1522","BMc",1.859,0.7046536036157492
"Pseudogymnoascus;OTU1530","p>0.05",-0.06,"Ext",3.225338806305573,"Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Pseudogymnoascus;OTU1530","Ctrl",7.881,0.8746029771663555
"Pseudogymnoascus;OTU1530","p>0.05",-0.06,"Ext",2.041320742815527,"Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Pseudogymnoascus;OTU1530","BMc",7.547,0.8746029771663555
"Podila;OTU50","p>0.05",0.5,"Int",1.28594754805989,"Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;OTU50","Ctrl",1.901,0.48727566833982405
"Podila;OTU50","p>0.05",0.5,"Int",1.6327389857793433,"Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;OTU50","BMc",2.749,0.48727566833982405
"Trichoderma;OTU354","p<0.05",56.48,"Int",0.2595727032595124,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;OTU354","Ctrl",0.454,0.0039773194968209845
"Trichoderma;OTU354","p<0.05",56.48,"Int",1.1018903601377146,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;OTU354","BMc",2.796,0.0039773194968209845
"Mortierella;OTU602","p>0.05",-0.15,"Int",0.4744737721344101,"Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;OTU602","Ctrl",0.976,0.9485109683968291
"Mortierella;OTU602","p>0.05",-0.15,"Int",0.44785013850649524,"Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;OTU602","BMc",0.952,0.9485109683968291
"Stachybotrys;OTU692","p>0.05",1.89,"Int",0.43942648108481197,"Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae;Stachybotrys;OTU692","Ctrl",2.054,0.49356102095650883
"Stachybotrys;OTU692","p>0.05",1.89,"Int",0.31139689660644504,"Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae;Stachybotrys;OTU692","BMc",2.268,0.49356102095650883
"Hypocreales_gen_Incertae_sedis;OTU697","p>0.05",1.49,"Int",0.4599303217802986,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Hypocreales_gen_Incertae_sedis;OTU697","Ctrl",1.017,0.4229498524859342
"Hypocreales_gen_Incertae_sedis;OTU697","p>0.05",1.49,"Int",0.6513319985862881,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Hypocreales_gen_Incertae_sedis;OTU697","BMc",1.391,0.4229498524859342
"Niesslia;OTU723","p>0.05",6.79,"Int",0.3248138724375205,"Ascomycota;Sordariomycetes;Hypocreales;Niessliaceae;Niesslia;OTU723","Ctrl",1.131,0.050683401628170255
"Niesslia;OTU723","p>0.05",6.79,"Int",0.4489163639370253,"Ascomycota;Sordariomycetes;Hypocreales;Niessliaceae;Niesslia;OTU723","BMc",1.823,0.050683401628170255
"Rhizopus;OTU1013","p>0.05",3.3,"Int",0.560268235959885,"Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus;OTU1013","Ctrl",1.618,0.05037665293277812
"Rhizopus;OTU1013","p>0.05",3.3,"Int",1.775625343762323,"Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus;OTU1013","BMc",3.466,0.05037665293277812
"Marquandomyces;OTU1310","p>0.05",1.43,"Int",0.49299644338962956,"Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Marquandomyces;OTU1310","Ctrl",1.765,0.22817866884163387
"Marquandomyces;OTU1310","p>0.05",1.43,"Int",1.2820640301015525,"Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Marquandomyces;OTU1310","BMc",2.736,0.22817866884163387
"Fungi_gen_Incertae_sedis;OTU1390","p>0.05",0.18,"Int",0.5614051876722469,"Fungi_phy_Incertae_sedis;Fungi_cls_Incertae_sedis;Fungi_ord_Incertae_sedis;Fungi_fam_Incertae_sedis;Fungi_gen_Incertae_sedis;OTU1390","Ctrl",1.644,0.8880870815310201
"Fungi_gen_Incertae_sedis;OTU1390","p>0.05",0.18,"Int",1.227557752834207,"Fungi_phy_Incertae_sedis;Fungi_cls_Incertae_sedis;Fungi_ord_Incertae_sedis;Fungi_fam_Incertae_sedis;Fungi_gen_Incertae_sedis;OTU1390","BMc",1.763,0.8880870815310201
"Solicoccozyma;OTU1429","p>0.05",3.33,"Int",0.7087187650563741,"Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;OTU1429","Ctrl",2.825,0.09424772066088676
"Solicoccozyma;OTU1429","p>0.05",3.33,"Int",0.6398918706878645,"Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;OTU1429","BMc",3.797,0.09424772066088676
"Trichoderma;OTU1454","p>0.05",0.19,"Int",4.613338736692768,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;OTU1454","Ctrl",6.223,0.5193123990852209
"Trichoderma;OTU1454","p>0.05",0.19,"Int",2.06293673329585,"Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;OTU1454","BMc",8.076,0.5193123990852209
"Talaromyces;OTU1496","p<0.05",115.95,"Int",0.26727114817866343,"Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Talaromyces;OTU1496","Ctrl",0.663,0.0039773194968209845
"Talaromyces;OTU1496","p<0.05",115.95,"Int",2.9377861176319477,"Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Talaromyces;OTU1496","BMc",4.058,0.0039773194968209845
"Penicillium;OTU1515","p>0.05",4.64,"Int",0.41821109360199693,"Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;OTU1515","Ctrl",1.16,0.06322518016791359
"Penicillium;OTU1515","p>0.05",4.64,"Int",0.9392755520298042,"Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;OTU1515","BMc",2.185,0.06322518016791359
"Gibellulopsis;OTU1522","p>0.05",1.91,"Int",0.616207779680685,"Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Gibellulopsis;OTU1522","Ctrl",1.954,0.4166091099751993
"Gibellulopsis;OTU1522","p>0.05",1.91,"Int",0.27449681027690526,"Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Gibellulopsis;OTU1522","BMc",2.269,0.4166091099751993
"Pseudogymnoascus;OTU1530","p<0.05",-3.67,"Int",19.891958934231308,"Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Pseudogymnoascus;OTU1530","Ctrl",40.228,0.0039773194968209845
"Pseudogymnoascus;OTU1530","p<0.05",-3.67,"Int",3.7430838449026296,"Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Pseudogymnoascus;OTU1530","BMc",8.508,0.0039773194968209845
