"ASV","padj","coeff","N-Fertilization_Intensity","sdt","Treatment","mean","p-value_corrected_(BH)"
"Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas","p>0.05",-5,"Intensive",0.16813831581966232,"BMc",4.477,0.2655699253777514
"Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae","p>0.05",2.1,"Extensive",0.4570537821504462,"Ctrl",1.529,0.6933329755684906
"Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Unclassified_Vicinamibacteraceae","p>0.05",2.1,"Extensive",0.12760512413912384,"BMc",1.71,0.6933329755684906
"Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae","p>0.05",-4.94,"Extensive",0.7297189390333705,"Ctrl",2.389,0.30848431637143575
"Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Unclassified_Ilumatobacteraceae","p>0.05",-4.94,"Extensive",0.14235188710994048,"BMc",1.783,0.30848431637143575
"Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter","p<0.05",-54.46,"Extensive",0.5379228534096816,"Ctrl",5.239,0.018962576952091352
"Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter","p<0.05",-54.46,"Extensive",0.13203867818916867,"BMc",3.863,0.018962576952091352
"Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides","p>0.05",0.47,"Extensive",2.175728239526248,"Ctrl",3.252,0.671816155737675
"Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides","p>0.05",0.47,"Extensive",0.31280739462804796,"BMc",4.12,0.671816155737675
"Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces","p>0.05",-2.79,"Extensive",0.8429664323248998,"Ctrl",4.585,0.28718913613464153
