Taxa,coeff,p,padj,Treatment,Mean_Ctrl,Mean_BMc,Sd_Ctrl,Sd_BMc,Taxonomic_Level,N-Fertilization-Intensity
Ascomycota,10.43,8.677787588224442e-4,0.0030372256563455094,Ext,68.15081772634258,80.6961235938698,2.66741806455467,4.380045046498915,Phylum,Ext
Fungi_phy_Incertae_sedis,-48.45,8.677787589558598e-4,0.0030372256563455094,Ext,3.4442674001061437,1.2349848948932074,0.7526124992533525,0.35202878409722466,Phylum,Ext
Mortierellomycota,-21.83,8.677787589398716e-4,0.0030372256563455094,Ext,13.276849820157464,4.704500900467652,4.2010447414506915,2.2634223461352407,Phylum,Ext
Olpidiomycota,592.03,8.677787588150515e-4,0.0030372256563455094,Ext,0.0011912563753470463,0.17007725912538374,0.0015186891350340483,0.13684668764758465,Phylum,Ext
Rozellomycota,4297.01,8.677787588249027e-4,0.012148902623548638,Int,0.00407755117369011,0.03161411397485654,0.004743011955225932,0.01576029768423771,Phylum,Int
Ascomycota;Eurotiomycetes,89.17,8.677787604208853e-4,0.003471115044986694,Ext,4.590744246441685,10.280909643073167,0.8384925454139132,7.061213276430045,Class,Ext
Ascomycota;Orbiliomycetes,-84.65,0.012541691286386996,0.04347786312614159,Ext,0.10809637736961897,0.0432705534225929,0.043206432404080314,0.010827536113764281,Class,Ext
Ascomycota;Pezizomycetes,1505.06,8.67778759558247e-4,0.003471115044986694,Ext,0.09468981411373048,0.3400733095296874,0.02923853175207259,0.1785267914570991,Class,Ext
Ascomycota;Sordariomycetes,64.93,8.677787593888713e-4,0.003471115044986694,Ext,39.96330724992082,45.64459519225074,2.5235741032239787,2.350973885334929,Class,Ext
Basidiomycota;Microbotryomycetes,-568.05,8.677787595930766e-4,0.003471115044986694,Ext,0.8698631560928792,0.2631603196768526,0.5567548001650277,0.08694894816292005,Class,Ext
Basidiomycota;Ustilaginomycetes,-1585,8.677787612466735e-4,0.003471115044986694,Ext,0.6528325611107094,0.25812990122238066,0.4771326316255721,0.09948364140321139,Class,Ext
Chytridiomycota;Cladochytriomycetes,-6359.97,8.67778758804371e-4,0.003471115044986694,Ext,0.02585298063262595,0.008225157690480094,0.007160807959293777,0.006796154579938673,Class,Ext
Chytridiomycota;Lobulomycetes,5419.98,8.67778758958762e-4,0.003471115044986694,Ext,0.01886206759450534,0.060435076481713326,0.01272165195052721,0.011240795049860055,Class,Ext
Chytridiomycota;Rhizophydiomycetes,3691.99,8.677787591098523e-4,0.003471115044986694,Ext,0.0396937263600809,0.10412788499257787,0.012881231170810477,0.04334863578907739,Class,Ext
Fungi_phy_Incertae_sedis;Fungi_cls_Incertae_sedis,-48.45,8.677787589558598e-4,0.003471115044986694,Ext,3.4442674001061437,1.2349848948932074,0.7526124992533525,0.35202878409722466,Class,Ext
Glomeromycota;Glomeromycetes,66.41,0.00610622091159267,0.022680249100201347,Ext,0.10000459658015474,0.6045128718659355,0.07092251479062714,0.4754184440977489,Class,Ext
Glomeromycota;Paraglomeromycetes,-849.37,8.677787588904068e-4,0.003471115044986694,Ext,0.10399166837977879,0.0044459945094360446,0.04101965338551682,0.006493552821040429,Class,Ext
Kickxellomycota;Kickxellomycota_cls_Incertae_sedis,9941.5,0.013623172416817757,0.04427531035465771,Ext,0,0.0025638049709948304,0,0.001984111427628732,Class,Ext
Mortierellomycota;Mortierellomycetes,-21.83,8.677787589398716e-4,0.003471115044986694,Ext,13.276849820157464,4.704500900467652,4.2010447414506915,2.2634223461352407,Class,Ext
Mucoromycota;Endogonomycetes,-25939.32,8.677787588658621e-4,0.003471115044986694,Ext,0.005451566334187178,0,0.003860011791235465,0,Class,Ext
Olpidiomycota;Olpidiomycetes,592.03,8.677787588150515e-4,0.003471115044986694,Ext,0.0011912563753470463,0.17007725912538374,0.0015186891350340483,0.13684668764758465,Class,Ext
Ascomycota;Ascomycota_cls_Incertae_sedis,76.8,8.67778759671933e-4,0.005640561943707572,Int,2.6640059039041053,7.277400030325197,1.0102871412361485,4.678830275184363,Class,Int
Ascomycota;Leotiomycetes,-3.54,8.677787588234804e-4,0.005640561943707572,Int,41.092082974497565,9.465344676383811,19.680919657047372,3.6092291149668276,Class,Int
Ascomycota;Sordariomycetes,25.92,8.677787595795831e-4,0.005640561943707572,Int,25.32720771283964,42.200174033261675,8.238044767787855,6.168620733020617,Class,Int
Basidiomycota;Agaricomycetes,5.6,0.006234626319581077,0.03375562615438851,Int,1.537792766477669,2.7979175759571615,0.4679007465783569,0.5462706018806435,Class,Int
Basidiomycota;Basidiomycota_cls_Incertae_sedis,-97.12,0.006491466568151636,0.03375562615438851,Int,0.16894822823256203,0.038126241420462864,0.10996823952984168,0.020994321986436474,Class,Int
Basidiomycota;Microbotryomycetes,-808.32,8.677787590125023e-4,0.005640561943707572,Int,0.4892670055252525,0.23714185812421518,0.16088848749154364,0.04552724099169876,Class,Int
Chytridiomycota;Lobulomycetes,3320.16,8.677787605703957e-4,0.005640561943707572,Int,0.014281392363048791,0.18791070735121515,0.007275158675814169,0.18214241188562413,Class,Int
Chytridiomycota;Rhizophydiomycetes,-2462.84,8.677787588546302e-4,0.005640561943707572,Int,0.1253202851108155,0.07146976977902597,0.031839017830762685,0.011055401876636435,Class,Int
Glomeromycota;Archaeosporomycetes,1521.36,8.67778758822977e-4,0.005640561943707572,Int,0.008587723137931564,0.08663097836419935,0.004615252379153579,0.045369398557538014,Class,Int
