"RH_CT_Int_Ctrl1" "RH_CT_Int_Ctrl2" "RH_CT_Int_Ctrl3" "RH_CT_Int_Ctrl4" "RH_CT_Int_BM1" "RH_CT_Int_BM2" "RH_CT_Int_BM3" "RH_CT_Int_BM4" "RH_CT_Ext_Ctrl1" "RH_CT_Ext_Ctrl2" "RH_CT_Ext_Ctrl3" "RH_CT_Ext_Ctrl4" "RH_CT_Ext_BM1" "RH_CT_Ext_BM2" "RH_CT_Ext_BM3" "RH_CT_Ext_BM4"
"SH0947669.09FU" 0 0 0 1 0 0 0 0 5 0 0 0 2 0 0 0
"SH0947671.09FU" 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0
"SH0947674.09FU" 77 184 71 127 66 119 51 27 41 24 50 26 1154 526 168 135
"SH0948285.09FU" 4 1 0 7 0 35 14 3 0 4 0 24 11 3 5 0
"SH0948422.09FU" 7 0 0 4 0 0 11 5 14 4 0 0 1 21 0 15
"SH0948444.09FU" 0 0 0 0 14 0 0 0 0 0 0 0 0 0 4 0
"SH0948461.09FU" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0948481.09FU" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"SH0948538.09FU" 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0
"SH0948549.09FU" 10 7 25 11 6 23 19 0 0 12 13 4 1 7 14 20
"SH0948756.09FU" 0 0 0 0 6 4 0 1 0 0 0 0 0 5 6 13
"SH0949312.09FU" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0949479.09FU" 0 0 0 0 0 0 1 5 2 3 99 1 0 0 3 9
"SH0949522.09FU" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
"SH0949708.09FU" 108 116 290 131 689 294 870 1066 740 855 858 899 200 239 1043 1064
"SH0949748.09FU" 4 14 33 6 112 51 186 190 9 12 22 15 84 111 290 196
"SH0949757.09FU" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"SH0949779.09FU" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0
"SH0950350.09FU" 0 0 1 0 0 3 0 2 1 2 4 0 3 3 0 18
"SH0950575.09FU" 0 0 0 0 0 0 0 59 0 0 0 0 1 0 0 195
"SH0950728.09FU" 5 0 6 4 0 0 0 0 0 0 0 0 0 0 0 0
"SH0950729.09FU" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"SH0950730.09FU" 2 0 0 0 10 1 7 0 0 6 0 0 0 0 0 0
"SH0950832.09FU" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"SH0950896.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"SH0951410.09FU" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"SH0952862.09FU" 0 6 6 0 0 0 0 0 0 0 0 1 0 5 0 0
"SH0953475.09FU" 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
"SH0953482.09FU" 64 124 200 85 256 91 463 359 400 765 777 817 73 56 408 419
"SH0953614.09FU" 1 0 9 7 24 3 28 8 71 60 81 97 0 6 15 28
"SH0953723.09FU" 0 0 0 0 7 0 9 3 0 1 9 0 0 0 0 7
"SH0954175.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"SH0954675.09FU" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0
"SH0954678.09FU" 0 0 1 0 8 1 12 5 0 0 0 0 4 0 1 18
"SH0954689.09FU" 0 0 0 10 0 0 0 5 0 0 0 6 9 0 0 4
"SH0955218.09FU" 95 12 47 37 96 120 56 55 608 163 147 333 39 93 80 52
"SH0955962.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4
"SH0955986.09FU" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0
"SH0955993.09FU" 0 0 2 0 1 0 0 0 0 5 0 5 0 6 2 2
"SH0955999.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1
"SH0956001.09FU" 1 0 5 1 0 0 0 2 0 3 16 13 0 0 18 0
"SH0956011.09FU" 0 0 0 0 0 0 0 5 0 1 0 14 0 0 0 0
"SH0956015.09FU" 0 0 0 0 0 0 0 3 0 0 0 0 2 2 5 4
"SH0956026.09FU" 0 0 0 0 0 0 0 0 0 0 6 0 0 0 6 0
"SH0956104.09FU" 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"SH0956210.09FU" 0 1 0 13 0 0 0 0 0 46 0 0 0 0 0 0
"SH0956326.09FU" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0956329.09FU" 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0
"SH0956470.09FU" 49 50 10 44 47 20 8 41 47 7 18 40 46 69 23 39
"SH0956570.09FU" 39 79 85 162 29 19 37 64 53 101 58 199 29 87 24 14
"SH0956573.09FU" 152 266 163 470 108 65 85 112 234 374 291 342 33 47 76 64
"SH0956600.09FU" 0 0 6 15 0 0 8 0 1 1 0 0 0 0 0 10
"SH0956656.09FU" 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0
"SH0956757.09FU" 63 35 114 122 54 17 53 61 189 156 121 224 14 16 7 38
"SH0956786.09FU" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"SH0957855.09FU" 13 0 0 0 0 0 0 0 13 13 11 46 1 2 0 5
"SH0958180.09FU" 0 0 0 0 0 0 0 8 0 0 0 2 1 0 0 3
"SH0958192.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 3 6 0 0
"SH0958194.09FU" 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"SH0958202.09FU" 0 0 8 0 5 0 0 0 0 0 8 0 0 0 0 0
"SH0958212.09FU" 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0
"SH0958215.09FU" 4 0 8 1 23 13 41 4 0 3 1 0 0 4 12 3
"SH0958217.09FU" 22 40 14 0 8 1 2 0 0 0 7 0 0 17 0 0
"SH0958225.09FU" 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0
"SH0958226.09FU" 11 14 2 0 0 0 0 0 0 2 0 0 0 0 4 4
"SH0958420.09FU" 45 9 19 32 1 11 6 0 16 15 5 4 0 4 6 1
"SH0958501.09FU" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
"SH0959308.09FU" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0960134.09FU" 16 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"SH0960170.09FU" 552 610 721 959 1592 1112 853 465 707 923 994 667 822 780 706 795
"SH0960796.09FU" 0 0 0 0 1 0 9 4 0 0 7 0 0 14 0 0
"SH0961014.09FU" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 10
"SH0961030.09FU" 0 0 1 1 1 8 9 3 6 0 0 10 7 10 20 117
"SH0961128.09FU" 0 0 0 1 0 0 0 0 0 2 0 4 0 0 1 5
"SH0961216.09FU" 0 2 0 1 0 0 2 0 0 0 0 0 0 1 0 0
"SH0961262.09FU" 6 0 0 8 1 6 8 2 0 3 0 0 2 0 2 2
"SH0961269.09FU" 50 56 75 351 266 50 99 64 139 99 110 50 203 74 51 111
"SH0961373.09FU" 237 382 535 938 4338 2418 4770 1974 143 374 278 959 2109 3843 5606 4776
"SH0961398.09FU" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0961427.09FU" 0 0 1 0 0 0 0 7 0 0 0 0 0 4 0 0
"SH0961471.09FU" 17 1 0 0 31 19 53 2 3 5 1 1 121 46 11 11
"SH0961535.09FU" 9 18 51 3 1 0 41 14 0 2 6 2 0 10 25 7
"SH0961575.09FU" 1 0 0 0 3 0 16 0 1479 4 4 73 9 0 0 6
"SH0961615.09FU" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"SH0961638.09FU" 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0
"SH0961641.09FU" 0 0 2 0 0 0 0 1 3 0 0 96 0 0 11 0
"SH0962319.09FU" 57 12 74 94 36 76 120 22 441 166 542 326 35 58 94 90
"SH0962326.09FU" 23 42 15 3 1 3 10 2 55 59 81 75 15 13 32 155
"SH0962352.09FU" 27 60 71 65 0 0 0 1 8 15 90 325 0 7 0 1
"SH0963264.09FU" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0963280.09FU" 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0963515.09FU" 0 0 0 0 0 0 0 19 10 0 0 8 0 0 0 0
"SH0964049.09FU" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0964074.09FU" 4 0 7 11 0 0 0 0 0 0 0 0 0 0 0 3
"SH0964075.09FU" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"SH0964078.09FU" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0964573.09FU" 57 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0
"SH0964578.09FU" 0 0 1 7 0 0 0 3 0 0 17 0 0 0 0 0
"SH0964583.09FU" 0 0 0 0 8 0 0 6 0 0 37 0 0 0 0 0
"SH0964662.09FU" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"SH0965312.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"SH0965313.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 17 3 0 0
"SH0965370.09FU" 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
"SH0965384.09FU" 1 63 10 0 1 0 0 11 49 44 20 64 0 1 0 0
"SH0965396.09FU" 0 0 0 1 0 0 0 4 0 0 0 0 0 4 0 4
"SH0965406.09FU" 18 21 30 48 79 70 106 236 246 295 274 246 31 36 45 164
"SH0965420.09FU" 0 0 7 0 12 7 0 12 0 0 0 2 1 7 3 1
"SH0965439.09FU" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"SH0965441.09FU" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"SH0965455.09FU" 44 61 14 7 48 18 35 199 166 56 60 57 23 32 38 20
"SH0965461.09FU" 0 0 1 0 0 0 0 5 23 0 1 0 0 0 0 2
"SH0965526.09FU" 1 0 0 0 0 0 0 0 1 1 1 0 4 15 6 19
"SH0965547.09FU" 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0
"SH0965553.09FU" 121 158 81 178 19 20 46 54 448 140 61 137 2 4 5 21
"SH0965554.09FU" 45 82 182 104 186 128 245 420 172 481 225 334 60 119 153 203
"SH0965557.09FU" 20 37 30 110 217 147 210 640 112 151 412 59 502 521 319 395
"SH0966048.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 1 2 5 0
"SH0966059.09FU" 0 1 0 1 1 0 0 7 0 0 0 0 0 0 1 1
"SH0966463.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"SH0968195.09FU" 1337 1300 1583 1189 417 272 654 47 46 144 884 548 211 316 616 385
"SH0968775.09FU" 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0
"SH0968798.09FU" 1 0 0 0 0 0 0 1 0 0 0 0 1 3 3 0
"SH0968801.09FU" 56 83 83 137 225 63 510 180 174 168 278 327 64 87 145 179
"SH0968821.09FU" 20 87 57 69 1295 561 3373 370 64 99 97 87 1036 1864 2399 1234
"SH0968835.09FU" 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"SH0968845.09FU" 0 0 6 1 0 15 3 1 0 0 2 0 13 9 7 19
"SH0968847.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"SH0968939.09FU" 585 767 779 894 181 91 275 241 146 57 71 159 401 313 492 607
"SH0969588.09FU" 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0969595.09FU" 3 5 1 33 0 0 0 0 0 0 13 15 0 6 12 0
"SH0970138.09FU" 2 0 8 0 0 1 0 14 19 12 19 31 13 1 4 7
"SH0970170.09FU" 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
"SH0970245.09FU" 21 68 73 83 67 33 112 163 110 159 136 255 26 14 21 43
"SH0970288.09FU" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"SH0970638.09FU" 3 2 6 2 22 237 76 83 24 21 2 4 7 67 77 82
"SH0970643.09FU" 21 25 21 20 32 45 58 79 439 236 289 100 26 22 95 110
"SH0970644.09FU" 1 1 3 0 12 17 7 27 0 0 0 1 11 9 8 1
"SH0970756.09FU" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"SH0970757.09FU" 0 0 0 0 0 0 0 9 0 0 0 0 1 1 0 2
"SH0971256.09FU" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"SH0971595.09FU" 0 0 0 0 22 33 0 5 4 0 0 0 12 21 0 44
"SH0971596.09FU" 0 0 1 0 0 0 0 0 0 0 0 0 0 7 0 0
"SH0971619.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
"SH0971630.09FU" 3 0 0 0 0 0 0 0 0 50 1 32 0 1 0 0
"SH0972179.09FU" 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1 0
"SH0972898.09FU" 35 15 38 38 53 21 48 34 257 457 251 326 16 13 54 90
"SH0973303.09FU" 1 1 0 1 0 1 1 4 1 1 0 0 0 12 3 8
"SH0973877.09FU" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"SH0974844.09FU" 1 1 0 5 7 5 6 6 10 1 0 0 1 0 0 4
"SH0974872.09FU" 8 15 27 13 112 115 1813 104 76 28 21 28 24 21 131 173
"SH0975368.09FU" 0 0 1 0 0 15 3 0 0 0 7 0 0 3 0 0
"SH0975527.09FU" 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0
"SH0976325.09FU" 0 7 5 20 4 0 0 2 15 1 2 3 4 1 1 0
"SH0977080.09FU" 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0
"SH0977213.09FU" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 5
"SH0977233.09FU" 0 0 0 0 0 0 4 6 0 9 14 0 0 0 6 4
"SH0977264.09FU" 7 0 5 7 0 0 58 5 0 0 0 0 1 10 46 79
"SH0977301.09FU" 0 0 0 0 0 0 0 0 0 0 8 0 0 0 2 1
"SH0977305.09FU" 0 1 0 1 56 75 42 135 0 0 1 0 11 15 68 37
"SH0977446.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"SH0977486.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8
"SH0977575.09FU" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2
"SH0977598.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
"SH0977615.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"SH0977638.09FU" 0 1 0 0 0 0 0 0 0 4 0 2 1 0 2 9
"SH0977849.09FU" 0 1 7 0 0 0 0 0 0 3 0 4 0 2 2 0
"SH0977863.09FU" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0977869.09FU" 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0978025.09FU" 33 29 13 37 77 5 205 125 2 8 49 177 24 33 132 221
"SH0978043.09FU" 32 74 14 74 25 12 1 19 31 8 17 66 15 7 1 4
"SH0978282.09FU" 0 0 0 0 2 1 1 5 0 0 0 0 0 2 1 0
"SH0978443.09FU" 0 0 0 0 0 3 0 0 0 0 6 3 9 0 1 6
"SH0978468.09FU" 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0
"SH0978702.09FU" 8 41 5 42 119 29 74 58 33 4 5 10 80 34 85 92
"SH0978787.09FU" 19 11 1 0 11 14 27 5 18 10 6 23 26 56 48 59
"SH0979722.09FU" 3 54 1 4 0 5 5 0 116 4 0 0 39 258 77 18
"SH0979741.09FU" 0 0 0 0 0 0 3 6 0 0 0 2 0 0 0 0
"SH0979780.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"SH0979824.09FU" 0 0 1 0 3 0 23 3 0 0 1 0 0 2 0 0
"SH0980252.09FU" 0 0 0 12 27 0 0 0 0 4 1 1 7 0 0 0
"SH0980265.09FU" 0 5 0 0 0 0 0 9 0 0 0 0 0 0 0 0
"SH0980282.09FU" 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
"SH0980341.09FU" 0 0 0 0 7 18 0 3 0 2 0 0 7 4 0 4
"SH0980411.09FU" 8 0 0 0 7 0 0 0 0 0 6 4 5 0 3 0
"SH0980725.09FU" 73 137 90 199 56 90 67 115 68 84 96 195 32 111 109 127
"SH0980736.09FU" 0 0 0 0 0 0 0 5 0 0 0 0 2 5 7 0
"SH0980752.09FU" 0 0 0 6 0 0 0 0 15 0 0 11 4 12 0 0
"SH0981002.09FU" 4 11 5 6 0 0 5 6 0 1 4 0 0 0 15 27
"SH0981022.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
"SH0981065.09FU" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0981071.09FU" 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0981134.09FU" 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 8
"SH0981150.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
"SH0981158.09FU" 0 0 7 0 0 0 5 0 0 1 0 0 1 0 2 7
"SH0982131.09FU" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"SH0982327.09FU" 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0
"SH0982781.09FU" 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"SH0983198.09FU" 1 14 11 6 11 10 0 33 29 36 6 20 30 178 0 18
"SH0983590.09FU" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"SH0983963.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2
"SH0984227.09FU" 14 24 40 65 77 23 1 30 213 122 158 147 25 64 24 60
"SH0984600.09FU" 0 0 0 19 0 0 13 4 0 4 0 15 3 5 6 7
"SH0984753.09FU" 1 6 4 2 347 35 68 65 62 6 75 80 58 21 259 109
"SH0984920.09FU" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"SH0984988.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3
"SH0984989.09FU" 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"SH0984992.09FU" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 7 0
"SH0985055.09FU" 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0
"SH0985192.09FU" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SH0985244.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 3
"SH0985614.09FU" 12 94 47 161 49 5 73 100 92 173 96 159 6 15 18 47
"SH0986633.09FU" 12 0 0 0 6 14 17 0 0 0 2 31 2 0 0 0
"SH0986634.09FU" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"SH0986764.09FU" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0988811.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"SH0988887.09FU" 0 0 0 1 0 0 0 0 0 0 0 0 10 0 0 5
"SH0988939.09FU" 1 0 0 0 6 0 8 3 3 0 13 0 0 0 13 0
"SH0989273.09FU" 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"SH0989466.09FU" 0 0 26 0 1 0 7 0 0 1 0 0 0 46 0 0
"SH0989470.09FU" 2 0 0 0 0 0 0 1 18 0 4 12 0 0 0 0
"SH0989785.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"SH0991014.09FU" 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0992093.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"SH0992160.09FU" 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0
"SH0992182.09FU" 0 0 0 0 0 1 37 3 0 9 0 0 0 0 0 0
"SH0993010.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"SH0993030.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 19 4 17 10
"SH0994454.09FU" 136 3233 256 620 850 211 668 452 148 213 271 372 209 478 371 387
"SH0994474.09FU" 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0994475.09FU" 649 2388 1114 1588 815 409 1025 675 986 1046 787 1270 522 753 898 863
"SH0994498.09FU" 14 27 15 43 61 80 162 92 16 16 19 25 113 125 167 218
"SH0994584.09FU" 0 1 0 0 0 0 5 0 0 0 0 0 3 28 1 25
"SH0994833.09FU" 0 0 0 17 0 6 0 0 5 0 0 0 0 0 0 0
"SH0994927.09FU" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"SH0995138.09FU" 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1
"SH0996224.09FU" 0 0 0 0 0 0 0 0 0 8 8 8 0 0 0 0
"SH0997012.09FU" 0 0 1 0 0 0 34 6 0 1 0 0 0 105 61 35
"SH0997120.09FU" 0 0 0 1 0 0 5 10 3 2 0 3 0 1 5 0
"SH0997149.09FU" 0 1 1 9 25 5 43 22 2 13 3 9 6 20 8 29
"SH0997499.09FU" 0 0 0 0 0 0 0 0 0 1 0 11 0 0 0 0
"SH0998011.09FU" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"SH0998081.09FU" 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0
"SH0998335.09FU" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"SH0998395.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
"SH0999119.09FU" 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"SH0999571.09FU" 0 0 0 0 0 7 1 25 6 0 0 0 0 0 3 0
"SH0999580.09FU" 0 0 0 8 1 0 0 0 0 1 3 13 0 0 0 0
"SH0999651.09FU" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0999915.09FU" 7 12 1 10 0 0 0 0 6 2 0 0 0 5 0 0
"SH0999928.09FU" 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0999994.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0
"SH0999996.09FU" 0 0 4 0 0 0 6 0 0 0 0 0 0 0 0 4
"SH1000591.09FU" 17 3 328 37 1 1 0 5 237 295 189 399 1 57 3 0
"SH1000606.09FU" 5 9 14 47 9 10 7 172 102 15 4 36 35 10 4 37
"SH1000615.09FU" 0 0 0 0 0 0 0 0 0 4 0 0 0 3 0 0
"SH1000739.09FU" 0 0 0 0 6 9 5 16 0 0 0 0 8 19 19 17
"SH1000746.09FU" 83 22 35 29 13 16 89 48 225 453 74 137 28 55 27 64
"SH1000747.09FU" 0 1 17 2 6 0 1 0 0 1 5 1 0 0 8 1
"SH1000772.09FU" 2 4 2 6 37 47 15 83 198 6 5 34 8 12 0 27
"SH1000775.09FU" 124 1 0 4 0 0 0 2 11 15 1 429 0 0 0 3
"SH1000977.09FU" 0 0 0 0 8 1 12 28 0 0 1 1 29 48 43 81
"SH1001398.09FU" 1 1 2 0 0 2 0 0 0 0 0 2 0 0 2 0
"SH1002487.09FU" 1 1 6 4 36 13 38 46 23 16 77 28 50 4 10 9
"SH1002491.09FU" 3 3 19 3 74 32 67 117 34 55 97 81 101 14 12 43
"SH1003244.09FU" 0 0 5 3 0 0 0 0 0 0 0 0 0 0 0 0
"SH1004092.09FU" 14 2 23 54 2 6 75 27 7 68 55 81 10 6 9 12
"SH1004412.09FU" 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"SH1004703.09FU" 0 1 0 0 0 10 0 0 0 0 13 5 12 12 0 30
"SH1004708.09FU" 0 0 7 45 0 0 8 7 1 0 5 3 11 8 2 56
"SH1005815.09FU" 0 0 0 0 0 0 0 0 0 0 5 0 2 3 0 1
"SH1008214.09FU" 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0
"SH1008722.09FU" 0 0 0 0 0 11 0 3 0 0 0 0 16 0 0 0
"SH1009332.09FU" 6 0 4 0 8 2 0 0 4 3 0 1 1 0 0 12
"SH1010571.09FU" 0 0 0 1 4 17 5 6 0 1 0 0 0 0 0 0
"SH1010803.09FU" 0 1 1 0 0 9 0 1 0 2 1 0 0 3 0 0
"SH1011645.09FU" 19 15 4 14 19 19 24 28 76 128 100 201 8 0 0 0
"SH1011647.09FU" 0 0 0 0 8 1 0 1 0 0 0 0 0 0 0 0
"SH1011652.09FU" 0 0 0 0 0 0 0 0 13 0 0 1 0 0 0 0
"SH1012419.09FU" 1 0 1 1 1 2 2 1 2 2 1 2 0 0 0 1
"SH1012436.09FU" 366 834 474 670 1310 977 1635 646 4406 405 730 812 843 553 794 779
"SH1014156.09FU" 0 0 2 0 0 0 0 5 0 0 0 0 0 0 0 0
"SH1014179.09FU" 0 11 0 0 1 0 0 0 590 2 0 0 1 0 0 0
"SH1014332.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"SH1014917.09FU" 0 0 0 0 0 0 0 4 0 0 0 0 0 15 1 0
"SH1015773.09FU" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH1018621.09FU" 2 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2
"SH1019186.09FU" 0 0 0 0 14 1 0 0 0 0 0 0 9 0 0 0
"SH1019894.09FU" 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0
"SH1020165.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 5
"SH1020338.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"SH1021444.09FU" 21 14 11 74 0 0 0 8 43 21 14 8 0 0 0 3
"SH1022448.09FU" 0 0 4 15 15 3 34 2 0 0 0 1 0 1 12 4
"SH1026551.09FU" 0 0 0 0 0 0 4 0 0 3 0 6 0 0 0 0
"SH1026610.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0
"SH1026703.09FU" 0 0 0 0 0 0 7 0 0 0 0 0 1 0 0 6
"SH1027483.09FU" 7 0 0 0 0 1 0 6 0 3 4 0 0 3 0 14
"SH1028590.09FU" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"SH1029145.09FU" 0 13 1 5 0 0 3 0 0 0 1 3 0 7 9 0
"SH1029379.09FU" 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH1029537.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"SH1029557.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"SH1029584.09FU" 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"SH1029836.09FU" 221 409 407 522 3 2 8 7 4 25 12 9 7 1 11 9
"SH1029838.09FU" 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH1029963.09FU" 11 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH1030405.09FU" 0 0 0 0 0 15 14 33 21 0 0 1 0 0 6 10
"SH1030410.09FU" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"SH1030639.09FU" 0 0 0 2 8 0 0 5 0 4 0 0 0 0 0 2
"SH1031754.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
"SH1031942.09FU" 2 12 1 5 1 0 9 1 2 3 0 12 1 1 0 3
"SH1032149.09FU" 0 18 2 0 1 2 3 0 0 0 0 2 0 1 0 0
