kingdom	phylum	class	order	family	genus	species
SH0970756.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Sordariomycetes_gen_Incertae_sedis	s__Sordariomycetes_sp
SH0970757.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	s__Monosporascus_ibericus
SH0971218.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Agaricomycetes_gen_Incertae_sedis	s__Agaricomycetes_sp
SH0971256.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Phialemonium	s__Phialemonium_inflatum
SH0971595.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Valsonectria	s__Valsonectria_pulchella
SH0971596.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	s__Acremonium_hyalinulum
SH0971619.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	s__Hypocreales_sp
SH0971630.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Sordariomycetes_gen_Incertae_sedis	s__Sordariomycetes_sp
SH0972076.09FU	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	s__Cyberlindnera_jadinii
SH0972179.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Piniphoma	s__Piniphoma_wesendahlina
SH0972898.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	s__Dactylonectria_macrodidyma
SH0972990.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Atractium	s__Atractium_sp
SH0973303.09FU	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Tubeufiaceae_gen_Incertae_sedis	s__Tubeufiaceae_sp
SH0973877.09FU	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiales_fam_Incertae_sedis	Chytridiales_gen_Incertae_sedis	s__Chytridiales_sp
SH0974844.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp
SH0974872.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp
SH0975368.09FU	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales_fam_Incertae_sedis	Orbiliales_gen_Incertae_sedis	s__Orbiliales_sp
SH0975527.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	s__Leptodontidium_sp
SH0976325.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Haptocillium	s__Haptocillium_balanoides
SH0976532.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Dictyosporium	s__Dictyosporium_hughesii
SH0976564.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeriaceae_gen_Incertae_sedis	s__Didymosphaeriaceae_sp
SH0977080.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	s__Helotiales_sp
SH0977143.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Naevala	s__Naevala_perexigua
SH0977213.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0977230.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	s__Dominikia_sp
SH0977233.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0977264.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	s__Glomus_sp
SH0977301.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0977305.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0977446.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	s__Dominikia_sp
SH0977486.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0977575.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	s__Dominikia_sp
SH0977598.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0977615.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	s__Funneliformis_sp
SH0977638.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0977849.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	s__Torula_herbarum
SH0977863.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	s__Torula_fici
SH0977869.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	s__Torula_acaciae
SH0978025.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectriaceae_gen_Incertae_sedis	s__Nectriaceae_sp
SH0978043.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectriaceae_gen_Incertae_sedis	s__Nectriaceae_sp
SH0978282.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	s__Sporormiella_sp
SH0978443.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sesquicillium	s__Sesquicillium_sp
SH0978468.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	s__Hypocreales_sp
SH0978702.09FU	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthaceae_gen_Incertae_sedis	s__Magnaporthaceae_sp
SH0978787.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	s__Chalara_pseudoaffinis
SH0979722.09FU	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Pseudophialocephala	s__Pseudophialocephala_humicola
SH0979741.09FU	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	s__Chloridium_submersum
SH0979780.09FU	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	s__Chloridium_aseptatum
SH0979824.09FU	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	s__Chaetosphaeria_sp
SH0980252.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Pholiota	s__Pholiota_squarrosa
SH0980265.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	s__Hypholoma_subericaeum
SH0980282.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	s__Hebeloma_radicosum
SH0980341.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	s__Hypholoma_capnoides
SH0980411.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	s__Hypholoma_lateritium
SH0980725.09FU	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	s__Myrmecridium_schulzeri
SH0980736.09FU	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	s__Myrmecridium_sp
SH0980752.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Clavicipitaceae_gen_Incertae_sedis	s__Clavicipitaceae_sp
SH0981002.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	s__Diversispora_sp
SH0981022.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	s__Diversispora_celata
SH0981035.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversisporaceae_gen_Incertae_sedis	s__Diversisporaceae_sp
SH0981039.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	s__Diversispora_sp
SH0981065.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversisporaceae_gen_Incertae_sedis	s__Diversisporaceae_sp
SH0981071.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	s__Diversispora_arenaria
SH0981122.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	s__Diversispora_sp
SH0981134.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversisporaceae_gen_Incertae_sedis	s__Diversisporaceae_sp
SH0981150.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	s__Diversispora_sp
SH0981158.09FU	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversisporaceae_gen_Incertae_sedis	s__Diversisporaceae_sp
SH0982131.09FU	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria	s__Xanthoria_parietina
SH0982327.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnellula	s__Lachnellula_fuscosanguinea
SH0982781.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Trichopezizella	s__Trichopezizella_sp
SH0983198.09FU	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	s__Nigrospora_oryzae
SH0983590.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	s__Volvariella_bombycina
SH0983946.09FU	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	s__Sporobolomyces_sp
SH0983963.09FU	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Pezizomycotina_gen_Incertae_sedis	s__Pezizomycotina_sp
SH0984227.09FU	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	s__Ascomycota_sp
SH0984246.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	s__Helotiales_sp
SH0984600.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	s__Acremonium_pilosum
SH0984753.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	s__Hypocreales_sp
SH0984920.09FU	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Onygenales_gen_Incertae_sedis	s__Onygenales_sp
SH0984988.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	s__Rhizophagus_irregularis
SH0984989.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	s__Rhizophagus_irregularis
SH0984992.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	s__Rhizophagus_irregularis
SH0985047.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae_gen_Incertae_sedis	s__Didymellaceae_sp
SH0985055.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	s__Neoascochyta_exitialis
SH0985192.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	s__Neoascochyta_desmazieri
SH0985244.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	s__Neoascochyta_europaea
SH0985614.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Pleotrichocladium	s__Pleotrichocladium_opacum
SH0985674.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Uzbekistanica	s__Uzbekistanica_vitis-viniferae
SH0986633.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	s__Botrytis_caroliniana
SH0986634.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	s__Botrytis_sp
SH0986706.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Cenangiaceae	Encoelia	s__Encoelia_glaberrima
SH0986764.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotiniaceae_gen_Incertae_sedis	s__Sclerotiniaceae_sp
SH0988560.09FU	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Dinemasporium	s__Dinemasporium_pseudodecipiens
SH0988811.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	s__Rhizophagus_sp
SH0988887.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	s__Rhizophagus_irregularis
SH0988939.09FU	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
SH0989273.09FU	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	s__Venturia_lonicerae
SH0989466.09FU	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	s__Papiliotrema_terrestris
SH0989470.09FU	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	s__Papiliotrema_frias
SH0989785.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscyphaceae_gen_Incertae_sedis	s__Hyaloscyphaceae_sp
SH0991014.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hyponectriaceae	Monographella	s__Monographella_sp
SH0991782.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	s__Melanoleuca_sp
SH0992093.09FU	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Sawadaea	s__Sawadaea_tulasnei
SH0992160.09FU	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	s__Ascomycota_sp
SH0992182.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	s__Sporormiella_intermedia
SH0992271.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	s__Ophiosphaerella_sp
SH0993010.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	s__Pleosporales_sp
SH0993030.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	s__Pleosporales_sp
SH0994454.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	s__Pyrenochaetopsis_decipiens
SH0994474.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	s__Pyrenochaetopsis_sp
SH0994475.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	s__Pyrenochaetopsis_indica
SH0994498.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	s__Pyrenochaetopsis_leptospora
SH0994584.09FU	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	s__Phialophora_cyclaminis
SH0994833.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	s__Montagnula_scabiosae
SH0994927.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	s__Fusarium_oxysporum
SH0995138.09FU	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chloridium	s__Chloridium_sp
SH0996224.09FU	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Lipomyces	s__Lipomyces_tetrasporus
SH0997012.09FU	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	s__Kockovaella_sp
SH0997120.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Sagenomella	s__Sagenomella_oligospora
SH0997147.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Dendryphion	s__Dendryphion_europaeum
SH0997149.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	s__Pleosporales_sp
SH0997499.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomiaceae_gen_Incertae_sedis	s__Chaetomiaceae_sp
SH0998011.09FU	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	s__Cutaneotrichosporon_moniliiforme
SH0998081.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH0998327.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	s__Tubaria_furfuracea
SH0998335.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	s__Tubaria_furfuracea
SH0998395.09FU	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermales_fam_Incertae_sedis	Phaeodactylium	s__Phaeodactylium_sp
SH0999119.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH0999545.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiaceae_gen_Incertae_sedis	s__Sporormiaceae_sp
SH0999571.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	s__Preussia_persica
SH0999580.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	s__Preussia_sp
SH0999651.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Agaricomycetes_gen_Incertae_sedis	s__Agaricomycetes_sp
SH0999915.09FU	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	s__Vishniacozyma_dimennae
SH0999928.09FU	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	s__Vishniacozyma_globispora
SH0999930.09FU	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	s__Vishniacozyma_dimennae
SH0999994.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	s__Podospora_sp
SH0999996.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp
SH1000571.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	s__Ramophialophora_sp
SH1000591.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	s__Ramophialophora_sp
SH1000606.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp
SH1000615.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	s__Paraphaeosphaeria_sporulosa
SH1000739.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	s__Hypocreales_sp
SH1000746.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Kiflimonium	s__Kiflimonium_curvulum
SH1000747.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Chlamydocillium	s__Chlamydocillium_cyanophilum
SH1000772.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypocreaceae_gen_Incertae_sedis	s__Hypocreaceae_sp
SH1000775.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	s__Hypocreales_sp
SH1000977.09FU	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_gen_Incertae_sedis	s__Ceratobasidiaceae_sp
SH1001398.09FU	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	s__Ascomycota_sp
SH1002487.09FU	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor	s__Actinomucor_sp
SH1002491.09FU	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor	s__Actinomucor_elegans
SH1003244.09FU	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	s__Sordariales_sp
SH1004092.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	s__Preussia_sp
SH1004110.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	s__Clonostachys_candelabrum
SH1004412.09FU	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscyphaceae_gen_Incertae_sedis	s__Hyaloscyphaceae_sp
SH1004703.09FU	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronemataceae_gen_Incertae_sedis	s__Pyronemataceae_sp
SH1004708.09FU	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronemataceae_gen_Incertae_sedis	s__Pyronemataceae_sp
SH1004723.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	s__Crepidotus_mollis
SH1005815.09FU	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetales_fam_Incertae_sedis	Spizellomycetales_gen_Incertae_sedis	s__Spizellomycetales_sp
SH1008214.09FU	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	s__Bullera_alba
SH1008722.09FU	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	s__Rhodotorula_mucilaginosa
SH1009332.09FU	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	s__Ascomycota_sp
SH1009473.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	s__Schizophyllum_commune
SH1010556.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae	Typhula	s__Typhula_sp
SH1010571.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae	Typhula	s__Typhula_variabilis
SH1010803.09FU	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	s__Penicillium_penicillioides
SH1011645.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Agaricomycetes_gen_Incertae_sedis	s__Agaricomycetes_sp
SH1011647.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Agaricomycetes_gen_Incertae_sedis	s__Agaricomycetes_sp
SH1011652.09FU	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Waitea	s__Waitea_circinata_var._circinata
SH1012419.09FU	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_gen_Incertae_sedis	s__Ceratobasidiaceae_sp
SH1012436.09FU	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	s__Thanatephorus_cucumeris
SH1013102.09FU	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malasseziaceae_gen_Incertae_sedis	s__Malasseziaceae_sp
SH1014156.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Stephanosporaceae	Cristinia	s__Cristinia_sp
SH1014179.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes_ord_Incertae_sedis	Agaricomycetes_fam_Incertae_sedis	Agaricomycetes_gen_Incertae_sedis	s__Agaricomycetes_sp
SH1014332.09FU	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Antrodia	s__Antrodia_hyalina
SH1014917.09FU	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetales_fam_Incertae_sedis	Spizellomycetales_gen_Incertae_sedis	s__Spizellomycetales_sp
SH1015773.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH1018621.09FU	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	s__Fungi_sp
SH1019186.09FU	Fungi	Basidiomycota	Basidiomycota_cls_Incertae_sedis	Basidiomycota_ord_Incertae_sedis	Basidiomycota_fam_Incertae_sedis	Basidiomycota_gen_Incertae_sedis	s__Basidiomycota_sp
SH1019894.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Ijuhya	s__Ijuhya_sp
SH1020165.09FU	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Aurantiporus	s__Aurantiporus_fissilis
